2025-08-05T03:54:05.881621Z  INFO dora_cli::command::daemon: Starting dataflow `dataflow.yml`
2025-08-05T03:54:05.882660Z  INFO zenoh::net::runtime: Using ZID: e8891f779220f4af978514a4e93d6e25
2025-08-05T03:54:05.883057Z  INFO zenoh::net::runtime::orchestrator: Zenoh can be reached at: tcp/[fe80::5486:ceff:fe29:32b0]:41217
2025-08-05T03:54:05.883066Z  INFO zenoh::net::runtime::orchestrator: Zenoh can be reached at: tcp/10.89.0.2:41217
2025-08-05T03:54:05.883083Z  INFO zenoh::net::runtime::orchestrator: zenohd listening scout messages on 224.0.0.224:7446
2025-08-05T03:54:06.385163Z  INFO dora_daemon::log:    finished building nodes, spawning... build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=None target="dora daemon"
2025-08-05T03:54:06.385234Z  INFO dora_daemon::log:    spawning `/dora-examples/examples/c-dataflow/build/c_node` in `/dora-examples/examples/c-dataflow` build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_node") target="spawner"
2025-08-05T03:54:06.385974Z  INFO dora_daemon::log:    spawning `/dora-examples/examples/c-dataflow/build/c_sink` in `/dora-examples/examples/c-dataflow` build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink") target="spawner"
2025-08-05T03:54:06.386499Z  INFO dora_daemon::log:    spawning `/dora-examples/examples/c-dataflow/build/c_counter` in `/dora-examples/examples/c-dataflow` build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("runtime-node") target="spawner"
2025-08-05T03:54:06.387663Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: e37a34fd-db39-4847-9ea6-ad9596ac0b88 }}: dora_daemon::log:    node is ready build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_node") target="daemon"
2025-08-05T03:54:06.388473Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: e37a34fd-db39-4847-9ea6-ad9596ac0b88 }}: dora_daemon::log:    node is ready build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink") target="daemon"
2025-08-05T03:54:06.388576Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: e37a34fd-db39-4847-9ea6-ad9596ac0b88 }}: dora_daemon::log:    node is ready build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("runtime-node") target="daemon"
2025-08-05T03:54:06.388594Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: e37a34fd-db39-4847-9ea6-ad9596ac0b88 }}: dora_daemon::log:    all nodes are ready, starting dataflow build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=None target="daemon"
2025-08-05T03:54:08.992295Z  INFO dora_daemon::log:    [c sink] Hello World build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.001345Z  INFO dora_daemon::log:    [c sink] dora context initialized build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.003771Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 1 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.005628Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 2 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.007204Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 3 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.009220Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 4 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.011232Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 5 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.013157Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 6 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.015170Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 7 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.017202Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 8 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.019216Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 9 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.021236Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 10 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.023152Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 11 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.025150Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 12 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.027156Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 13 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.029178Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 14 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.031192Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 15 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.033204Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 16 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.035238Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 17 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.037246Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 18 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.039177Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 19 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.041232Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 20 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.043142Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 21 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.045184Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 22 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.047706Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 23 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.049214Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 24 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.051210Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 25 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
2025-08-05T03:54:09.053174Z  INFO dora_daemon::log:    [c sink] received input `counter` with data: The current counter value is 26 build_id=None dataflow_id=Some("0198785d-6eba-7496-bb5e-e4e4b2c6e5c6") node_id=Some("c_sink")
